,latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
162,39.02452,-77.13904,163,MARRIOTT INTERNATIONAL,10400 FERNWOOD ROAD,Bethesda,MD,226500,17072,780.0
163,47.61655,-122.19966,164,PACCAR,777 106TH AVENUE NE,Bellevue,WA,23000,17033,521.7
164,44.977,-93.39559,165,GENERAL MILLS,1 GENERAL MILLS BOULEVARD,Minneapolis,MN,39000,16563,1697.4
165,40.44129,-80.00051,166,PNC FINANCIAL SERVICES GROUP,249 5TH AVENUE,Pittsburgh,PA,50683,16423,3903.0
166,39.96514,-83.00596,167,AMERICAN ELECTRIC POWER,1 RIVERSIDE PLAZA,Columbus,OH,17634,16380,610.9
167,40.76405,-73.97311,168,ICAHN ENTERPRISES,767 5TH AVENUE,New York,NY,90980,16348,-1128.0
168,35.15941,-80.83467,169,NUCOR,1915 REXFORD ROAD,Charlotte,NC,23900,16208,796.3
169,26.85979,-80.05985,170,NEXTERA ENERGY,700 UNIVERSE BOULEVARD,Juno Beach,FL,14700,16155,2912.0
170,37.60589,-77.64471,171,PERFORMANCE FOOD GROUP,12500 WEST CREEK PARKWAY,Richmond,VA,13000,16105,68.3
171,40.84762,-74.45694,172,PBF ENERGY,1 SYLVAN WAY,Parsippany,NJ,3165,15920,170.8
172,29.9364,-95.34107,173,HALLIBURTON,3000 NORTH SAM HOUSTON PARKWAY EAST,Houston,TX,50000,15887,-5763.0
173,37.63877,-77.67067,174,CARMAX,12800 TUCKAHOE CREEK PARKWAY,Richmond,VA,22429,15833,623.4
174,33.45174,-112.07317,175,FREEPORT-MCMORAN,333 NORTH CENTRAL AVENUE,Phoenix,AZ,30000,15789,-4154.0
175,30.27086,-97.75277,176,WHOLE FOODS MARKET,550 BOWIE STREET,Austin,TX,73515,15724,507.0
